,,,,,,,,,,
,글로벌 국제기구사업 진행 현황 (2023년 3분기 기준),,,,,,,,,
,,,,,,,,,,
,연번,사업명,영문사업명,시작연도,종료연도,예산총액(달러),대상국가명,대상국가명-다국가일경우,지역명,수행기관
,1,FAO 농촌 청년 고용 창출을 위한 녹색 일자리 지원사업('19-'24/600만불),FAO Green Jobs for Rural Youth Employment,2019,2024,"6,000,000 USD",일반,"동티모르,짐바브웨,시에라리온",#REF!,FAO식량농업기구
,2,GGGI 네팔 테라이 홍수평야 기후스마트농업을 통한 기후복원력 제고 및 경제적 실향민 재통합 사업('22-'25/533만불),GGGI Building Climate Resilience and Reintegrating Workers through Climate Smart Agriculture in Nepal,2022,2025,"5,330,000 USD",네팔,,#REF!,GGGI
,3,GGGI 요르단 난민 및 지역사회를 위한 녹색 경제를 통한 지속가능한 녹색일자리 창출사업('23-'26/600만불),GGGI Creating Sustainable Green Jobs for Refugees and Host Communities through the Green Economy in Jordan,2023,2026,"6,000,000 USD",요르단,,#REF!,GGGI
,4,GGGI 우즈베키스탄 카라칼팍스스탄 공화국의 지역사회 주도 친환경 재건을 통한 아랄해 위기대응 사업('21-'24/560만불),GGGI Green Rehabilitation Investment Project for Karakalpakstan Republic to address impacts of the Aral Sea Crisis,2021,2024,"5,600,000 USD",우즈베키스탄,,#REF!,GGGI
,5,ICRC 아제르바이잔 내 전쟁 피해 취약 계층 생계 지원 사업('23-'26/600만불),Supporting the Livelihood of Vulnerable Populations Living in Azerbaijan Territories Affected by Armed Conflict,2023,2026,"6,000,000 USD",아제르바이잔,,#REF!,ICRC 국제적십자위원회
,6,"ILO 알제리, 모로코, 튀니지 무역 및 경제적 다양성을 위한 기술지원 사업('19-'23/522만불)",ILO Skill for Trade and Economic Diversification - Aligning skills strategically with sector development,2019,2023,"5,220,000 USD",일반,"알제리,모로코,튀니지",#REF!,ILO
,7,ILO 카메룬 난민영향지역 여성지위 및 경제회복력 강화사업('20-'24/799.9만불),ILO Empowering women for resilient economies and peaceful communities in the refugee-affected regions of East and Adamawa in Cameroon,2020,2024,"7,999,000 USD",카메룬,,#REF!,ILO
,8,"IOM 차드 호수 지역 귀환, 거버넌스, 생활개선을 통한 지역 안정화 사업('20-'23/800만불)","IOM Community Stabilization through Durable Return Solutions, Governance and Livelihood Development",2020,2023,"8,000,000 USD",차드,,#REF!,IOM국제이주기구
,9,IOM 페루 내 베네수엘라 난민 공동체 포괄적 지원을 통한 지역사회 통합 지원사업('23-'26/600만불),Supporting the integration of Venezuelan refugees and migrants into Peruvian host communities through socioeconomic intervention,2023,2026,"6,000,000 USD",페루,,#REF!,IOM국제이주기구
,10,IOM 피지 국가 및 지역사회의 재난과 이주 위험성 회복력 강화 사업('22-'25/600만불),IOM Strengthening National and Community Resilience to Disaster and Displacement Risks in the Republic of Fiji,2022,2025,"6,000,000 USD",피지,,#REF!,IOM국제이주기구
,11,ITC 서부 아프리카 여성 농업인 경제 역량 향상 지원 사업('19-'23/554만불),SheTrades West Africa : Improving Women's Livelihoods through Inclusive Value Chains,2019,2023,"5,540,000 USD",일반,"시에라리온,기니,라이베리아,코트디부아르",#REF!,ITC국제무역센터
,12,ITC 우간다 농업인 및 소상공인의 생계 개선 및 경쟁력 향상을 통한 자연재해 회복력 강화 사업('22-'26/507만불),ITC Strengthening natural disaster resilience and competitiveness of agribusinesses in Uganda,2022,2026,"5,070,000 USD",우간다,,#REF!,ITC국제무역센터
,13,ITC 케냐 난민 및 호스트 커뮤니티 대상 시장 중심 소득 기회 창출을 통한 지속가능한 사회경제적 발전 촉진 사업('23-'27/560만불),Kenya: Promoting sustainable socio-economic development and creating market-based livelihoods opportunities for refugees,2023,2027,"5,600,000 USD",케냐,,#REF!,ITC국제무역센터
,14,PAHO 도미니카공화국 아이티 이주민과 난민 사회통합 및 의료 접근성 개선을 통한 도미니카공화국 국경지역 평화 증진사업('23-'25/235만불),"Protecting the health, wellbeing and social inclusion of Haitian migrants and refugees in situation of vulnerability in border provinces of Dominican Republic",2023,2025,"2,350,000 USD",도미니카공화국,,#REF!,PAHO
,15,PAHO 페루 내 베네수엘라 난민의 사회적 통합 지원 및 보건의료 접근성 개선사업('23-'25/340만불),Improving social inclusion and access to health for the migrant and refugee population in Peru,2023,2025,"3,400,000 USD",페루,,#REF!,PAHO
,16,UNDP 모잠비크 중북부 지역 재해 복원 및 사회통합 증진 사업('22-'26/600만불),UNDP Promoting disaster resilience and social cohesion in northern and central Mozambique,2022,2026,"6,000,000 USD",모잠비크,,#REF!,UNDP유엔개발계획
,17,UNDP 아랍국가 공공행정 효율화 및 부패방지를 위한 지역협력 강화 사업('19-'23/934만불),UNDP Anti-Corruption and Integrity in Arab Countries (ACIAC),2019,2023,"9,340,000 USD",일반,"이집트,이라크,요르단,레바논,모로코,팔레스타인,튀니지",#REF!,UNDP유엔개발계획
,18,UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불),UNDP Governance for Resilient Development in the Pacific Project,2019,2024,"7,500,000 USD",일반,"키리바시,마샬군도,솔로몬군도,투발루,바누아투",#REF!,UNDP유엔개발계획
,19,UNFPA 르완다 청소년 및 청년들의 권한강화를 위한 성생식보건 지원사업('20-'23/518.8만불),"UNFPA Empowering adolescents and young people in Rwanda to realise their human right to equality, sexual and reproductive health and freedom from violence and discrimination",2020,2023,"5,188,000 USD",르완다,,#REF!,UNFPA
,20,"UNFPA 부르키나파소 및 사헬 북부 지역 인권, 평화, 성평등 구축 지원사업('22-'25/600만불)","UNFPA Basic Rights, Peace and Equality For All in the Regions of Sahel and Nord in Burkina Faso",2022,2025,"6,000,000 USD",부르키나파소,,#REF!,UNFPA
,21,UNFPA 차드 지역사회 복원력강화 및 분쟁예방 활동을 통한 취약 여성 및 청년 삶의 질 개선 사업('21-'24/570만불),UNFPA Building Community Resilience and Transforming Lives in Humanitarian and Conflict High-Risked Provinces in Chad,2021,2024,"5,700,000 USD",차드,,#REF!,UNFPA
,22,UN-HABITAT 이라크 지속가능한 귀환 촉진을 통한 평화 및 안정화 사업 ('22-'24/600만불),UN-HABITAT Promoting peace and stability in Iraq by facilitating sustainable returns,2022,2024,"6,000,000 USD",이라크,,#REF!,UNHABITAT
,23,"UNHCR 에콰도르 난민, 수용공동체 및 취약계층 대상 지속가능한 통합 및 보호사업('21-'24/600만불)",UNHCR Sustainable Integration and Protection for refugees and people in need of international protection as well as host communities,2021,2024,"6,000,000 USD",에콰도르,,#REF!,UNHCR유엔난민고등판무관실
,24,UNHCR 케냐 인도적 지원-개발 연계 지역공동체 기반 통합사업('20-'23/800만불),UNHCR Strengthen community-based initiatives and peaceful coexistence through a comprehensive approach bridging the Humanitarian-Development Nexus through the KISEDP,2020,2023,"8,000,000 USD",케냐,,#REF!,UNHCR유엔난민고등판무관실
,25,UNHCR 파키스탄 내 아프가니스탄 난민 및 수용 공동체 지원 사업('22-25/565만불),UNHCR Supporting Afghan refugees and  their host communities in Pakistan,2022,2025,"5,650,000 USD",파키스탄,,#REF!,UNHCR유엔난민고등판무관실
,26,UNICEF DR콩고 탕가니카 국내실향민 및 귀환민 대상 통합적 서비스 제공을 통한 영유아 질병률 및 사망률 감소 지원 사업('23-'25/600만불),"UNICEF Reducing under five morbidity and mortality, notably of Internally Displaced People (IDPs) and returnees to enhancing social cohesion and community resilience",2023,2025,"6,000,000 USD",콩고 민주공화국,,#REF!,UNICEF유엔아동기금
,27,"UNICEF 에티오피아 분쟁 및 난민 지역 아동을 위한 복원력 강화, 평화 구축 및 아동보호 사업('21-'24/600만불)","UNICEF Resilience, Peace and Protection for Children Affected by Conflict and Displacement in Ethiopia",2021,2024,"6,000,000 USD",에티오피아,,#REF!,UNICEF유엔아동기금
,28,"UNICEF 요르단 취약 청년 및 지역사회를 위한 평등한 기회, 사회통합, 기후 복원력 지원 사업('22-'25/600만불)","UNICEF Support to equitable opportunities, social cohesion, and climate resilience for vulnerable communities in Jordan",2022,2025,"6,000,000 USD",요르단,,#REF!,UNICEF유엔아동기금
,29,UNICEF 카메룬 동부의 복원력 강화를 통한 아동·청소년의 결핍 문제 해소 사업('20-'24/799.6만불),UNICEF Addressing child deprivations through resilience in the eastern region of Cameroon,2020,2024,"7,996,000 USD",카메룬,,#REF!,UNICEF유엔아동기금
,30,UNICEF 필리핀 마긴다나오주 취약계층 지역 공동체 재건 사업('23-'25/595만불),"UNICEF Supporting peace building through strengthening essential services for vulnerable children and adolescents in Maguindanao and Cotabato City, BARMM",2023,2025,"5,950,000 USD",필리핀,,#REF!,UNICEF유엔아동기금
,31,"UNMAS DR콩고 분쟁 피해 난민, 국내피난민 및 공동체를 위한 지속가능한 지뢰 제거 사업('22-'24/600만불)","UNMAS Sustainable mine action in support of conflict affected Refugees, Internally Displaced People and communities",2022,2024,"6,000,000 USD",콩고 민주공화국,,#REF!,유엔지뢰대책기구
,32,UNWOMEN 모잠비크 북부 재해 여성 및 소녀 피해자의 사회경제적 회복력 제고 지원사업('23-'25/600만불),Promoting socioeconomic recovery and resilience of women and girls affected by disasters and internally displaced in Northern Mozambique,2023,2025,"6,000,000 USD",모잠비크,,#REF!,UNWOMEN 유엔여성기구
,33,UNWOMEN 인도네시아 커뮤니티 저항력 강화 및 HDPN 지속가능한 평화구축을 위한 여성권한강화 지원사업('23-'26/400만불),Empowered Women for Sustainable Peace: Addressing the Peace-Humanitarian Nexus to Enhance Community Resilience in Indonesia,2023,2026,"4,000,000 USD",인도네시아,,#REF!,UNWOMEN 유엔여성기구
,34,WFP 르완다 회복력있는 커뮤니티와 성 역할 변화를 위한 지속가능한 시장 동맹과 자산창출 사업(SMART Project)('20-'23/800만불),WFP Sustainable Market alliance and Assets creation for Resilient Communities and gender Transformation Project in Rwanda,2020,2023,"8,000,000 USD",르완다,,#REF!,WFP세계식량계획
,35,WFP 모잠비크 통합위험 관리를 통한 소농민의 기후변화 대응 회복력 및 식량 안보 지원 사업('21-'25/570만불),WFP Climate Resilient Food Security for Women and Men Smallholders in Mozambique through integrated risk management,2021,2025,"5,700,000 USD",모잠비크,,#REF!,WFP세계식량계획
,36,WFP 방글라데시 취약계층 복원력 구축 및 지속가능 식량 시스템 강화사업('18-'23/460만불),Building Resilience to Achieve Zero Hunger (BRAZH),2018,2023,"4,600,000 USD",방글라데시,,#REF!,WFP세계식량계획
,37,WFP 부탄 지역농산물 활용한 학교급식을 통한 지속가능한 농업 개발 및 영양 교육 증진 사업('19-'23/400만불),The consolidating of a fully integrated universal National School Nutrition Programme in Bhutan,2019,2023,"4,000,000 USD",부탄,,#REF!,WFP세계식량계획
,38,WFP 이집트 난민 및 호스트 커뮤니티 내 복원력 강화 및 지속가능한 생계 지원을 통한 사회 결속력 및 안정성 향상 사업('23-'25/600만불),Enhance stability and social cohesion in Egypt through Building Resilience and Providing Sustainable Livelihoods Amongst the Refugees and Host Communities,2023,2025,"6,000,000 USD",이집트,,#REF!,WFP세계식량계획
,39,"WFP 탄자니아 난민 호스트 커뮤니티 내 영세농 농업가치사슬, 양성평등, 평화 강화 사업('22-'26/600만불)","WFP Strengthening Agriculture Value Chain, Gender Equality and Peace in Refugee Hosting Districts in Tanzania",2022,2026,"6,000,000 USD",탄자니아,,#REF!,WFP세계식량계획
,40,WHO 키리바시 보건 분야 기후변화 적응력 향상 사업('21-'25/600만불),WHO Making Health Adaptation for the Future Resilient Islands - Kiribati Outer Islands for Climate Health Action,2021,2025,"6,000,000 USD",키리바시,,#REF!,WHO세계보건기구
,41,WHO 팔레스타인 재난피해 취약계층 정신건강 관리역량개선을 통한 회복력 강화사업('23-'26/600만불),WHO Building Palestinian Resilience by improving mental well-being and strengthening Mental Health and Psychosocial Services Post COVID-19 Pandemic and armed conflict,2023,2026,"6,000,000 USD",팔레스타인,,#REF!,WHO세계보건기구